Sample,RT,mz,RTobs,dRT,mzobs,dppm,intensity,area,compound
PRISM|7874,420.0,385.3465,419.83056,-0.169440000000009,385.3476257324219,2.921351100589172,165445400.0,341155638.1570096,cholestenone
PRISM|7874,450.0,371.3583,449.789712,-0.210287999999991,371.359375,2.839992933913109,849662.6,1576289.116702049,coprostanol
PRISM|8624,432.6,369.3519,433.47231,0.87230999999997,369.352783203125,2.39122399261911,43775930.0,67166399.00351964,cholesterol
PRISM|8624,420.0,385.3465,420.097698,0.09769799999998,385.34771728515625,3.238131744762663,70935250.0,148190005.8783973,cholestenone
PRISM|8624,450.0,371.3583,450.859398,0.859397999999999,371.3592224121094,2.182566871266872,160591.8,236085.4669315075,coprostanol
PRISM|8447,432.6,369.3519,433.204062,0.604061999999999,369.3528747558594,2.584014884748309,1420836.0,2408770.967164884,cholesterol
PRISM|8447,420.0,385.3465,420.364362,0.364362000000028,385.34759521484375,2.921351100589172,344224900.0,700986749.3648179,cholestenone
PRISM|8447,450.0,371.3583,449.788602,-0.211397999999974,371.3594665527344,3.004349449574668,5036802.0,9990898.12968517,coprostanol
PRISM|8467,432.6,369.3519,432.670968,0.070967999999993,369.3529968261719,2.942055112790377,35418180.0,75233815.93124385,cholesterol
PRISM|8467,420.0,385.3465,419.831268,-0.168731999999977,385.3477783203125,3.37012367978578,6116758.0,12081522.69221698,cholestenone
PRISM|8467,450.0,371.3583,450.0,0.0,371.3583,0.0,0.0,0.0,coprostanol
PRISM|7373,432.6,369.3519,433.74357,1.143569999999954,369.35296630859375,2.88697200081942,4032118.0,4825413.258645352,cholesterol
PRISM|7373,420.0,385.3465,420.368826,0.368826000000013,385.3478698730469,3.528514001872525,1307263.0,2545898.134041956,cholestenone
PRISM|7373,450.0,371.3583,450.0,0.0,371.3583,0.0,0.0,0.0,coprostanol
PRISM|8841,432.6,369.3519,432.937704,0.337703999999974,369.3531188964844,3.245012229015388,4951453.0,9202067.781568946,cholesterol
PRISM|8841,420.0,385.3465,419.83062,-0.16937999999999,385.34796142578125,3.950888194153016,543430.2,1024877.11233487,cholestenone
PRISM|8841,450.0,371.3583,450.0,0.0,371.3583,0.0,0.0,0.0,coprostanol
PRISM|7776,432.6,369.3519,432.672384,0.072384,369.35302734375,3.079762892948618,35366800.0,72725900.99978422,cholesterol
PRISM|7776,420.0,385.3465,419.832678,-0.167322000000013,385.347900390625,3.634107549979526,72860160.0,142387414.6665733,cholestenone
PRISM|7776,450.0,371.3583,449.791956,-0.208043999999973,371.35931396484375,2.566065407759487,111081.7,189136.4388996457,coprostanol
PRISM|7855,432.6,369.3519,432.93774,0.337739999999997,369.35308837890625,3.245012229015388,16758990.0,31398637.5077413,cholesterol
PRISM|7855,420.0,385.3465,419.562996,-0.437004000000002,385.3478698730469,3.634107549979526,43680550.0,84220899.0994192,cholestenone
PRISM|7855,450.0,371.3583,450.0573,0.057299999999998,371.3594665527344,3.086527707405448,1326232.0,2531376.464582139,coprostanol
PRISM|8894,432.6,369.3519,433.205406,0.60540599999996,369.3529052734375,2.804347332786035,351435.8,542752.1685221774,cholesterol
PRISM|8894,420.0,385.3465,419.83068,-0.169320000000027,385.3480224609375,3.898091420173272,7453967.0,15519173.56393046,cholestenone
PRISM|8894,450.0,371.3583,449.789946,-0.210054000000014,371.359130859375,2.648243665590267,2032725.0,3809350.68002236,coprostanol
PRISM|7971,432.6,369.3519,432.669426,0.069425999999964,369.3531494140625,3.38272000901973,5188091.0,9539877.558899285,cholesterol
PRISM|7971,420.0,385.3465,419.829714,-0.170285999999976,385.3479919433594,3.898091420173272,12654660.0,25659130.41557837,cholestenone
PRISM|7971,450.0,371.3583,450.0,0.0,371.3583,0.0,0.0,0.0,coprostanol
PRISM|8924,432.6,369.3519,433.471854,0.871853999999985,369.35321044921875,3.492886233115543,223622.1,345166.7027283762,cholesterol
PRISM|8924,420.0,385.3465,419.829726,-0.170274000000006,385.3479919433594,3.871693033109644,3946917.0,8013727.326934523,cholestenone
PRISM|8924,450.0,371.3583,449.521494,-0.478505999999982,371.3592529296875,2.75781467608233,643340.3,1062785.53188387,coprostanol
PRISM|8374,432.6,369.3519,434.006202,1.406201999999951,369.3529968261719,3.024679780823762,35974440.0,43602280.23588559,cholesterol
PRISM|8374,420.0,385.3465,420.096564,0.096564000000001,385.3479919433594,3.950888194153016,22943420.0,45434084.04791406,cholestenone
PRISM|8374,450.0,371.3583,451.125768,1.125767999999994,371.3592529296875,3.196098717744441,97450.08,123705.666189656,coprostanol
PRISM|8244,432.6,369.3519,432.669204,0.069203999999957,369.35321044921875,3.520427789024071,7920429.0,15275771.52613872,cholesterol
PRISM|8244,420.0,385.3465,419.294598,-0.705401999999992,385.34796142578125,3.950888194153016,37168690.0,60885122.49564713,cholestenone
PRISM|8244,450.0,371.3583,450.056286,0.056286,371.3595275878906,2.949563944252103,130067.8,219468.1175990159,coprostanol
PRISM|7496,432.6,369.3519,434.006748,1.406747999999993,369.3533630371094,3.906009573282468,23682910.0,21116850.26906439,cholesterol
PRISM|7496,420.0,385.3465,421.167168,1.167168000000004,385.3481140136719,4.003684968132761,18813620.0,26397201.22235749,cholestenone
PRISM|7496,450.0,371.3583,450.591408,0.591408000000001,371.3597412109375,2.894778439082606,48572.66,42445.52524160174,coprostanol
PRISM|8628,432.6,369.3519,432.937044,0.337043999999992,369.3530578613281,3.245012229015388,392335.7,774614.721814221,cholesterol
PRISM|8628,420.0,385.3465,419.829954,-0.170046000000013,385.34783935546875,3.713302711022899,10226180.0,20058860.85676655,cholestenone
PRISM|8628,450.0,371.3583,449.52171,-0.478290000000015,371.3594665527344,3.387847986067283,629349.3,1034364.90511658,coprostanol
PRISM|8846,432.6,369.3519,431.866482,-0.733518000000004,369.35321044921875,3.575510901148928,34067500.0,55748450.49889126,cholesterol
PRISM|8846,420.0,385.3465,419.294286,-0.705714,385.3479919433594,3.950888194153016,2728509.0,4109507.096199104,cholestenone
PRISM|8846,450.0,371.3583,450.0,0.0,371.3583,0.0,0.0,0.0,coprostanol
PRISM|7909,432.6,369.3519,432.93789,0.337889999999959,369.35308837890625,3.189929116890531,399160.8,748593.240169633,cholesterol
PRISM|7909,420.0,385.3465,420.098172,0.098171999999977,385.34820556640625,4.426059160413253,9676474.0,21118186.97040144,cholestenone
PRISM|7909,450.0,371.3583,449.522418,-0.477581999999984,371.3595886230469,3.305669728236504,971380.3,1763319.156907853,coprostanol
PRISM|8129,432.6,369.3519,433.20729,0.607289999999978,369.3531799316406,3.410261565082158,44238590.0,76931689.13532554,cholesterol
PRISM|8129,420.0,385.3465,419.565156,-0.434843999999998,385.3479919433594,3.977286581216645,1875299.0,3450710.032671372,cholestenone
PRISM|8129,450.0,371.3583,450.0,0.0,371.3583,0.0,0.0,0.0,coprostanol
PRISM|8734,432.6,369.3519,432.403944,-0.196055999999999,369.3531188964844,3.189929116890531,4997949.0,8923317.289568935,cholesterol
PRISM|8734,420.0,385.3465,419.564232,-0.435767999999996,385.3479309082031,3.68690432395927,259711400.0,473018593.1890492,cholestenone
PRISM|8734,450.0,371.3583,448.988478,-1.011522000000014,371.3594970703125,3.168705965236228,475241.2,644035.9228190476,coprostanol
