run_accession	ismA_only_species_mapped	total_reads	spiR_or_ismA_gene_mapped	spiR_and_ismA_species_mapped	spiR_only_species_mapped	spiR_or_ismA_species_mapped	Study	reads_mapped_spiR_species	reads_mapped_ismA_species	reads_mapped_spiR_gene	reads_mapped_ismA_gene	area_coprostanol	intensity_coprostanol
CSM67UGO	7389	5034983	114	67550	175414	227183	HMP2	226389	68764	114	0	23909682.44	46804470
CSM67UH7	9679	12316611	1	73401	45311	101458	HMP2	99607	75617	1	0	164959.0159	332494.5
CSM79HGP	6516	15500485	107	105981	213844	305609	HMP2	305047	106930	107	0	688618.7035	3209805
CSM79HGZ	4551	9365851	33	72722	29386	91652	HMP2	91180	73337	18	15	60265716.65	256620900
CSM79HH8	2960	8840400	14	32583	24865	51334	HMP2	51041	33005	12	2	11112039.35	23824160
CSM79HHO	11624	9097528	42	131231	55494	166599	HMP2	164329	133921	31	11	17527561.5	34259370
CSM79HI7	12002	11810737	0	57741	42845	80860	HMP2	79600	59321	0	0	17498.62632	111225.3
CSM79HIB	16835	13402129	0	79835	53500	106250	HMP2	104801	81995	0	0	0	32564.28
CSM79HIJ	2874	11283712	0	84274	17936	95563	HMP2	95142	84798	0	0	48143.44557	183477.4
CSM79HIT	11815	5390011	238	181140	62172	226787	HMP2	225529	182777	140	98	3409951.128	13056570
CSM79HJM	8479	15261936	772	760553	42997	780281	HMP2	779772	761255	516	251	48896902.63	98894260
CSM79HJS	4697	10928298	4	84732	33728	104990	HMP2	104593	85354	2	2	28255.52375	78808.05
CSM79HKB	6788	8500795	18	90880	43900	120257	HMP2	119323	92157	18	0	38159184.64	75826840
CSM79HKZ	8730	23302812	2	103943	61301	145823	HMP2	145011	105111	2	0	566898.023	2219917
CSM79HLA	16763	12489457	68	133623	160780	264867	HMP2	261925	137431	68	0	10223988.71	41280100
CSM79HLA_TR	7318	8419702	23	73869	77288	137825	HMP2	136449	75608	23	0	10223988.71	41280100
CSM79HLM	13100	12760189	242	312561	39526	334843	HMP2	333828	313887	158	84	35506708.57	71095980
CSM79HMN	16897	7676636	397	319246	47948	344737	HMP2	344048	320227	222	175	3965405.763	18030200
CSM79HN6	10416	9361098	124	167012	44654	194153	HMP2	191096	170433	83	40	10402715.72	20621660
CSM79HOJ	17079	16684241	109	242083	204316	406862	HMP2	404812	245020	109	0	3819582.922	14650780
CSM79HP4	5475	7912029	76	97634	29184	116135	HMP2	115688	98252	52	24	33409615.1	69156790
CSM79HPA	3243	8470512	8	32236	19803	45921	HMP2	45524	32713	8	0	504182.9902	1046234
CSM79HPA_TR	5336	11692704	7	42974	30334	63987	HMP2	63201	43926	7	0	504182.9902	1046234
CSM79HPS	4783	8004484	20	35565	59308	84432	HMP2	84038	36094	20	0	1245710.846	5557804
CSM79HR6	3776	9107753	0	68689	32845	88977	HMP2	88693	69157	0	0	28036.50403	112639
CSM79HRG	5128	7055700	6	68020	41618	97689	HMP2	97213	68718	6	0	790611.9186	3158422
CSM7KOJO	13424	11837387	0	72657	63886	111539	HMP2	110081	74730	0	0	0	55807.68
CSM7KOKB	1764	4848238	0	31558	13451	39291	HMP2	39205	31745	0	0	8797.031528	39763.72
CSM7KOKN	3116	9859992	7	78143	21446	91494	HMP2	91208	78525	5	2	321914.6532	717485
CSM7KOKZ	6889	16964252	22	86312	67296	138996	HMP2	137883	87672	22	0	6556383.501	13305500
CSM7KOLA	20777	13251263	152	253502	95790	311318	HMP2	309911	255709	104	48	182092.2668	689041.5
CSM7KOLE	9419	6376336	158	162522	33592	182336	HMP2	181854	163264	75	83	21424191.27	42662460
CSM7KOLK	12274	10021240	247	270420	51362	300355	HMP2	297476	273718	194	53	10167471.43	20622850
CSM7KOLY		19915189	1130	1011088	120669	1079050	HMP2	1074864	1016217	753	373	4178953.97	16695060
CSM7KOMB	3271	9096091	7	43916	21802	58340	HMP2	57944	44375	7	0	12880.32413	64482.58
CSM7KOMT	18150	11857629	172	227523	83786	276178	HMP2	274083	230253	157	53	92588903.02	198137400
CSM7KON2	10679	7495584	58	93071	122692	190483	HMP2	189566	94545	58	0	18243494.03	36543100
CSM7KON8	11001	9337716	97	118033	145550	237502	HMP2	236499	119672	97	0	18485469.43	37408080
CSM7KONA	990	2548944	0	10056	5730	14098	HMP2	13972	10239	0	0	5095187.887	20038290
CSM7KONK	2349	12546401	0	27221	10062	32421	HMP2	32118	27631	0	0	14970.12242	31317.93
CSM7KOO9	4212	9427135	5	72437	35652	98359	HMP2	97885	73122	5	0	575539.2072	1233109
CSM7KOOF	6400	9094115	16	90571	55344	130861	HMP2	130036	91727	16	0	565737.8186	2240363
CSM7KOOH	5100	8460668	16	66130	32589	87025	HMP2	86338	66989	4	12	24801643.1	100220900
CSM7KOOR	1	2242	0	15	11	22	HMP2	22	15	0	0	32336862.59	63667400
CSM7KOOV	1468	5651986	0	32060	8886	37502	HMP2	37259	32357	0	0	68678.83276	309149.2
CSM7KOP8	18587	18648328	94	205144	136535	308097	HMP2	304523	209662	90	4	360522.9707	1734365
CSM7KOPE	8854	15569738	8	163871	50049	195437	HMP2	194119	165517	2	6	16928786.79	33311100
CSM7KOPI	6855	11362550	44	99630	54026	139677	HMP2	138817	100782	44	0	9104713.271	17999990
CSM7KOPS	5286	10173155	0	82166	40555	103006	HMP2	102749	82647	0	0	0	23255.46
CSM7KOQ1	1409	2103395	0	17598	10180	23283	HMP2	23166	17767	0	0	0	59796.13
CSM7KORK	5334	12258246	0	80438	33035	102477	HMP2	101980	81123	0	0	52975.4734	214949.8
CSM7KORU	3853	7773882	42	66535	23069	81065	HMP2	80826	66912	28	14	3720434.39	14832940
CSM7KOSP	2878	14367623	0	38625	11484	43070	HMP2	42848	38943	0	0	10713.97198	52149.53
CSM7KOSV	5018	11813579	11	77090	34966	100779	HMP2	99865	78204	11	0	22179.94933	100361.3
CSM7KOTK	2613	8913362	4	32648	22277	49637	HMP2	49226	33168	4	0	8217384.93	37857510
CSM7KOTU	11377	7231209	190	223266	53814	253811	HMP2	252761	224732	138	51	1720440.628	6803081
CSM7KOU9	11183	14297242	21	175542	86602	239998	HMP2	237766	178377	17	4	8879499.805	36466420
CSM7KOUL	3367	7888708	5	73648	23383	89081	HMP2	88806	74029	5	0	327212.6143	1383658
CSM9X1Y5	22101	11357392	77	193332	85751	248318	HMP2	245037	197383	37	40	49026210.28	93133960
CSM9X1YV	8522	12409696	23	135856	54061	166450	HMP2	165713	136916	18	5	5552694.217	24064040
CSM9X1ZC	4137	7070863	4	59047	37833	89419	HMP2	88600	60206	4	0	1611685.451	6705379
CSM9X211	20479	20407713	281	344959	97432	405376	HMP2	404014	346973	174	107	3588659.899	16577680
CSM9X213	6322	12202717	1	97726	43322	126159	HMP2	125443	98707	1	0	5743.371977	24178.58
CSM9X21J	10685	10947406	224	242607	35296	263072	HMP2	262473	243371	144	79	2245234.913	8657051
CSM9X22G	15200	17020492	54	193030	150611	316438	HMP2	313467	196763	49	4	5766402.833	26169580
CSM9X22U	7956	11444273	96	142606	45893	171302	HMP2	170837	143317	52	44	70951.75049	270973.4
CSM9X237	12026	8742020	84	170189	70828	209940	HMP2	208677	171849	52	32	781928.0181	3161233
CSM9X23B	9968	11978845	66	186321	63923	223382	HMP2	222405	187833	36	30	15315948.74	64804430
CSMA9J65	2741	5362490	20	44044	12991	52447	HMP2	52066	44549	14	6	40894650.07	177027700
CSMAG78W	6072	10654005	0	137143	48543	169920	HMP2	169237	138079	0	0	42911.13889	162956
CSMAIG7X	1587	7104001	3	36600	17328	50448	HMP2	50300	36851	3	0	5621072.32	25839120
ESM5MEBE	6383	8733072	2	56290	39848	80316	HMP2	79837	56988	2	0	0	0
ESM5MEBG	8639	13105865	0	80271	56172	115146	HMP2	114451	81317	0	0	13844.94916	71001.17
ESM5MEBU	7359	11249774	0	106695	36738	129289	HMP2	128480	107832	0	0	15525.38566	85445.78
ESM5MEC5	7941	8206580	267	217050	20538	228609	HMP2	228137	217679	183	81	11753281.8	45800300
ESM5MECL	8749	17864176	0	91561	55474	125618	HMP2	124929	92568	0	0	13353.05409	74619.24
ESM5MEDD	16563	20096865	27	208043	110246	283390	HMP2	280781	211517	20	7	56349315.27	219228300
ESM5MEDN	3246	4952891	0	32075	19287	44355	HMP2	43939	32658	0	0	98241.01872	444344.9
ESM718SY	7394	15277446	7	140193	70745	195955	HMP2	195161	141370	7	0	1055659.19	4330146
ESM718TF	6730	12381309	33	61561	36421	83135	HMP2	82553	62389	19	14	10240384.13	20076950
ESM718TM	3308	5434044	132	132819	16628	141195	HMP2	140978	133139	98	34	18984746.36	73077180
ESM718UH	12325	8571909	179	174887	35598	194924	HMP2	193381	176789	95	84	48645115.21	97243850
ESM718V8	12638	16286056	316	279325	64118	316020	HMP2	314578	281133	217	97	40669304.02	171124000
ESM7F5AK	34322	13247867	163	305248	124084	376123	HMP2	370339	312324	112	51	61083336.18	234255500
ESM9IEP1	6399	7225395	132	117083	65662	168102	HMP2	167529	117911	109	23	57792262	114361200
HSM5MD3Y	3117	2953162	0	26409	16275	36542	HMP2	36304	26758	0	0	6691.659284	33840.99
HSM5MD41	5108	14184040	0	73025	29711	91404	HMP2	90836	73810	0	0	34583.36717	129764.2
HSM5MD43	9260	12487219	0	83341	59543	120219	HMP2	119317	84665	0	0	0	0
HSM5MD4O	10501	13746343	2	98925	71344	144274	HMP2	143321	100300	2	0	12369.16843	64192.61
HSM5MD53	12107	8952918	405	326742	24264	339793	HMP2	338433	328222	243	162	46882.14945	122733.8
HSM5MD5D	27768	10734038	513	457798	91494	512417	HMP2	510111	460833	291	222	109058745.6	213111700
HSM5MD5P	13500	14930502	249	241003	42367	265052	HMP2	263606	242858	131	116	62674746.93	124093600
HSM5MD62	8980	15395731	32	96274	101041	177137	HMP2	176131	97696	32	0	4637714.509	9368481
HSM5MD6A	4744	7753058	0	82622	22764	96288	HMP2	95760	83336	0	0	6593.865955	29912.32
HSM5MD6A_TR	4130	11464219	0	111726	23560	126469	HMP2	125870	112447	0	0	6593.865955	29912.32
HSM5MD6K	13364	11689171	0	104392	92149	165874	HMP2	164224	106587	0	0	43911.72875	237864.8
HSM5MD73	12601	11122079	19	105621	66865	145540	HMP2	144345	107369	14	3	235056.2522	1056699
HSM5MD79	1371	5356878	0	21751	7313	25688	HMP2	25622	21870	0	0	0	0
HSM5MD7J	2413	7767505	0	15753	11289	21423	HMP2	21300	16001	0	0	0	72206.7
HSM5MD7O	70	104843	0	228	211	279	HMP2	280	228	0	0	28555.42155	120858.3
HSM67VCZ	3339	10834630	0	53592	17885	64140	HMP2	63785	54104	0	0	37694.83357	155602.3
HSM67VD6	4902	11253466	0	68088	26490	84584	HMP2	83961	68918	0	0	53216.36592	213089.6
HSM67VEE	14359	10546628	49	103366	54972	135407	HMP2	133457	105793	25	24	20753945.8	78405870
HSM67VES	37076	16979422	980	865041	83975	911932	HMP2	909257	868419	606	354	53476812.75	113299100
HSM67VF3	4489	16903643	0	73069	23582	86805	HMP2	86375	73673	0	0	35204.39141	140615.2
HSM67VFR	3441	11701593	0	48673	14193	56251	HMP2	55915	49123	0	0	0	40992.61
HSM67VFZ	25351	14926934	265	283687	100523	345370	HMP2	342359	287767	165	100	91518009.22	395846800
HSM67VGA	4483	6257688	33	52282	61589	104140	HMP2	103619	53052	33	0	7120779.443	32713160
HSM67VGG	7654	11439628	29	70610	118393	171922	HMP2	170866	72148	29	0	7473714.896	28982980
HSM67VH1	16055	10581219	6	145570	104482	211713	HMP2	210556	147472	6	0	17574.55802	69092.97
HSM67VHF	12003	14112343	281	288147	33331	306121	HMP2	305664	288776	159	122	79526743.53	302501500
HSM67VI5	9618	14885094	58	102923	154316	237814	HMP2	236471	104707	58	0	1392877.607	2831821
HSM6XRQ8	17863	15117846	364	317253	73476	363888	HMP2	362933	318622	238	126	12277506.2	53323010
HSM6XRQB	7312	10567432	0	82669	37741	106566	HMP2	105605	84019	0	0	79564.57795	347253.2
HSM6XRQM	8766	14240102	579	501180	34935	517438	HMP2	516446	502400	370	201	14824283.86	58078100
HSM6XRQW	2923	10993215	0	40014	13336	46832	HMP2	46534	40369	0	0	15565.19452	80185.36
HSM6XRRD	6817	14774692	12	68428	29331	84147	HMP2	83560	69290	29	13	11191222.93	22851030
HSM6XRRJ	7337	16144902	0	85526	59264	124031	HMP2	123529	86289	0	0	33602.63878	76008.57
HSM6XRRV	8308	6695171	0	80571	43480	108046	HMP2	107123	81795	0	0	16921.35296	71195.55
HSM6XRS8	164	71479	0	524	473	631	HMP2	630	523	0	0	0	24035.54
HSM6XRSG	3292	14297868	0	33774	9651	36270	HMP2	36139	33941	0	0	29510.31867	116891.3
HSM6XRSN	6675	16823126	1	77669	35100	97851	HMP2	97249	78563	1	0	51203.20148	107278.6
HSM6XRTM	6937	7069870	43	78988	34752	100202	HMP2	99635	79866	26	17	15320643.89	59285130
HSM6XRTQ	4988	2353578	0	31551	28658	49146	HMP2	48582	32374	0	0	0	16674.6
HSM6XRV2	3878	3533180	44	42031	22715	58301	HMP2	57877	42614	22	22	44931276.38	173871200
HSM6XRVC	16693	17246517	0	144207	127504	228660	HMP2	227147	146469	0	0	13119.06568	49867.05
HSM6XRVC_TR	15129	13127844	0	127897	128550	212957	HMP2	212022	129496	0	0	13119.06568	49867.05
HSM6XRVK	16490	9088357	0	124017	113030	200861	HMP2	198506	127138	0	0	202375.927	445353.2
HSM6XRVO	8033	5684816	2	70992	48386	100914	HMP2	100199	72075	2	0	0	62334.62
HSM6XRVW	10993	13168036	1	127922	39074	147988	HMP2	147033	129289	1	0	112586.9907	224548.1
HSM7CYX2	62182	18265568	762	755198	189670	862209	HMP2	859385	759823	470	274	3114812.199	13208280
HSM7CYXA	18236	10983529	6	135996	97974	197432	HMP2	195097	139173	73	58	24315503.98	98257630
HSM7CYY3	3601	9588250	33	74940	13431	81459	HMP2	81316	75135	21	12	7829516.929	30400340
HSM7CYYB	3594	6463549	0	7122	7614	8789	HMP2	8813	7180	0	0	0	26786.86
HSM7CYYF	4521	11989095	0	55169	20227	66466	HMP2	65933	55853	0	0	5056.667251	19862.1
HSM7CYZ7	19723	12372896	0	77864	55980	103846	HMP2	102665	80149	0	0	0	60031.23
HSM7CYZJ	15610	10922391	455	442466	79713	490164	HMP2	487944	445443	290	164	3864181.547	15013120
HSM7CYZT	3595	7354416	0	28842	10789	33834	HMP2	33467	29332	0	0	89470.35814	393812.8
HSM7CZ14	3729	8954335	10	31074	13585	37330	HMP2	37073	31403	8	2	560848.8318	2308344
HSM7CZ32	4438	8666909	0	94279	18195	104621	HMP2	104093	95016	0	0	0	0
HSM7CZ38	3292	14501033	0	180264	16125	188907	HMP2	188520	180785	0	0	15562.10095	82160.64
HSM7CZ3G	3936	9272253	15	47219	34538	72825	HMP2	72455	47747	15	0	1675761.657	6754355
HSM7J4G1	8135	8428960	23	106123	35995	129283	HMP2	127968	107840	21	2	26436286.03	102411300
HSM7J4GR	6155	13461665	25	65464	40533	92665	HMP2	91985	66411	22	3	29590.712	131759.3
HSM7J4HC	6110	14390309	20	61793	52057	99436	HMP2	98869	62619	20	0	1254676.403	2663107
HSM7J4HO	12006	10486380	0	96036	69451	137764	HMP2	136295	97855	0	0	23110.30693	116251
HSM7J4HS	3989	2458309	0	27869	20531	39918	HMP2	39394	28519	0	0	20379.93499	112694.1
HSM7J4I3	8840	18778507	0	107098	46506	135805	HMP2	134764	108507	0	0	49968.47175	195972.5
HSM7J4I7	8883	9847034	8	81828	59543	126856	HMP2	125235	83917	8	0	3591920.901	14717390
HSM7J4IC	6872	14615276	0	83155	39982	108570	HMP2	107572	84375	0	0	21857.70093	122231.8
HSM7J4IS	7734	10573940	88	132938	29811	150458	HMP2	149731	133860	52	36	4915047.903	18959080
HSM7J4IU	14740	8941826	62	149237	62765	187493	HMP2	185527	151846	38	23	18816118.6	78057740
HSM7J4J7	4381	12663865	0	50064	23128	63476	HMP2	63078	50594	0	0	12477.09376	64659.64
HSM7J4JF	5686	15644036	11	73883	33154	93684	HMP2	93054	74787	11	0	58996.04285	240281.9
HSM7J4JZ	1250	936552	0	9355	7153	13944	HMP2	13813	9543	0	0	11402.67697	66357.09
HSM7J4K8	3649	2685918	0	28239	20054	40569	HMP2	40110	28794	0	0	0	44747.29
HSM7J4KC	6582	15181307	2	49449	37855	72501	HMP2	71951	50272	2	0	108119.1963	232982.4
HSM7J4KK	20389	18118603	612	181178	772623	912804	HMP2	909624	185630	612	0	17106148.82	80761380
HSM7J4KQ	8652	14399350	2	93532	47344	121667	HMP2	120727	94809	2	0	18985.6601	114153.8
HSM7J4L9	6474	12229001	0	144760	37221	166649	HMP2	165919	145682	0	0	70204.735	301465.3
HSM7J4LD	4646	14439866	0	61202	21265	73244	HMP2	72790	61805	0	0	63535.37869	131746.1
HSM7J4LN	9890	13770768	0	91100	48503	118174	HMP2	117292	92382	0	0	15966.33412	32965.66
HSM7J4LP	96	59303	0	269	174	306	HMP2	298	274	0	0	13598.19343	74143.05
HSM7J4M4	12481	5800893	72	92738	201462	264950	HMP2	263563	94931	80	4	6234778.225	24570760
HSM7J4ME	24135	12811305	356	191258	501852	636242	HMP2	633719	195179	396	42	60989765.29	119938100
HSM7J4MK	8007	10783033	36	91083	84989	160885	HMP2	159745	92492	36	0	11018327.12	42936630
HSM7J4MS	3339	10895818	0	54913	22969	69574	HMP2	69283	55331	0	0	33489.55967	90596.26
HSM7J4MY	6053	14012602	6	74432	49775	109686	HMP2	109157	75181	6	0	46785.5693	184549.4
HSM7J4N4	9740	10139084	108	95924	212206	287577	HMP2	286480	97386	108	0	291576.5315	1341368
HSM7J4NA	8374	10563471	50	93754	97905	173353	HMP2	172470	95099	50	0	18393037.16	35604390
HSM7J4NE	6097	7656632	0	43780	29416	61314	HMP2	60427	44923	0	0	87189.66807	177504.3
HSM7J4NU	24131	15832496	404	343076	111585	413999	HMP2	411501	346446	264	140	17130133.2	65370770
HSM7J4O1	10118	15048034	58	107540	132599	219208	HMP2	218096	109130	58	0	1375445.79	5549913
HSM7J4O3		15271425	213	127015	364757	470776	HMP2	469500	128734	213	0	9818695.082	19859020
HSM7J4OE	11381	14565101	38	120069	91539	190856	HMP2	188833	122484	38	0	7241665.117	15709150
HSM7J4OT	11152	11789881	4	33391	31749	44758	HMP2	44416	33916	4	0	259053.0393	510723.3
HSM7J4OZ	6088	5948291	293	260098	28507	275775	HMP2	275041	260989	202	91	3871217.801	15159470
HSM7J4PE	6096	6625125	7	59070	39112	84385	HMP2	83766	59965	32	6	13196931.13	28433830
HSM7J4PW	15947	9167006	382	351443	47539	379351	HMP2	378702	352410	202	179	46600022.24	176813100
HSM7J4QB	5375	3918575	0	35149	28823	53070	HMP2	52531	35947	0	0	27845.75393	148567.7
HSM7J4QJ	25	8412	0	182	83	226	HMP2	227	184	0	0	0	23361.92
HSM7J4QT	4162	3942851	0	45376	22502	60259	HMP2	59688	46138	0	0	5755.005483	23665.48
HSM7J4R2	48353	17189357	1514	1100210	125271	1175407	HMP2	1172661	1103836	875	639	54975126.41	234619700
HSMA33J5	12329	13917483	0	97121	77447	144912	HMP2	143872	98646	0	0	183550.1929	366736.3
HSMA33J9	13068	10143681	155	247449	72094	290761	HMP2	289249	249455	103	52	14201908.69	57009590
HSMA33JB	9615	19184202	2	143085	71716	196329	HMP2	195202	144568	2	0	4479549.485	10519490
HSMA33JP	11760	19441785	33	106977	84422	170223	HMP2	168733	108959	33	0	2731799.482	10789440
HSMA33KM	7002	12286674	50	85893	140873	212002	HMP2	211202	86994	50	0	2436959.233	10584080
HSMA33L1	28079	10069281	0	189071	133854	270904	HMP2	266926	194206	0	0	80595.34947	371880.1
HSMA33M8	4343	12497287	25	47721	19694	58637	HMP2	58288	48093	14	11	6949413.241	30025200
HSMA33MI	338	367961	0	2259	1770	3354	HMP2	3320	2295	0	0	9070.559592	41958.61
HSMA33MZ	3189	7583665	25	70056	14816	77618	HMP2	77390	70375	19	6	1072674.297	4206896
HSMA33NQ	7582	6622032	2	44721	35841	67430	HMP2	65600	46902	18	2	19282204.07	86085370
HSMA33NW	3628	9287626	2	66336	23210	81165	HMP2	80871	66788	2	0	24375.11773	139419
HSMA33NY	9082	10499079	17	85170	67144	133154	HMP2	132237	86536	17	0	27433129.79	54502450
HSMA33O1	2741	2771090	0	17848	12779	25646	HMP2	25218	18416	0	0	11736.97543	62049.31
HSMA33OJ	10099	15897066	90	129714	47573	157385	HMP2	156715	130630	61	29	1091619.382	4150942
HSMA33OR	1659	1461313	0	11780	6904	16270	HMP2	16120	11967	0	0	7606.318082	33874.17
HSMA33OZ	10104	17211987	0	93701	49119	121711	HMP2	121020	94767	0	0	27852.59299	113851.7
HSMA33PZ	3859	16776495	0	131966	18769	141795	HMP2	141480	132379	0	0	73057.68482	153799.3
HSMA33Q6	3246	11039832	0	73588	20852	86737	HMP2	86439	74021	0	0	34684.23895	152781
HSMA33QO	7247	15278594	46	80675	39238	104701	HMP2	104095	81513	13	33	57792380.6	234183900
HSMA33R7	3968	8523204	0	38500	19368	49845	HMP2	49409	39114	0	0	63490.99602	251694.6
HSMA33R9	5699	5612580	0	48566	27883	66150	HMP2	65357	49573	0	0	110482.8595	241666.2
HSMA33RX	6172	18773851	0	154752	38503	178430	HMP2	177816	155619	0	0	69412.02358	134948
HSMA33RX_TR	3260	13528768	0	106135	21393	118744	HMP2	118488	106517	0	0	69412.02358	134948
HSMA33SG	11057	6475906	167	171825	44829	199115	HMP2	198008	173285	85	82	98985476.82	410563800
HSMA33SK	34840	13138560	439	465926	184888	600760	HMP2	596751	471124	270	169	143359625.9	560447600
MSM5LLDA	8508	8252798	0	70074	54893	104534	HMP2	103600	71467	0	0	20089.74556	92719.79
MSM5LLDI	1867	5535169	0	24416	10426	30669	HMP2	30487	24677	0	0	0	28539.67
MSM5LLDS	1807	5088210	0	26253	10311	32519	HMP2	32267	26568	0	0	0	21780.01
MSM5LLF4	13634	6292963	112	140742	59969	177875	HMP2	176518	142735	80	31	25924260.56	52307960
MSM6J2HF	2920	7649092	0	46331	13510	53675	HMP2	53426	46717	0	0	43770.87271	176577.5
MSM6J2HT	4410	18874550	26	87075	19302	97135	HMP2	96851	87403	10	16	30587529.81	120778000
MSM6J2IG	6105	10487022	0	74508	32029	95503	HMP2	94742	75572	0	0	49961.96483	253131.1
MSM6J2IQ	19705	15465212	0	133331	102292	191884	HMP2	189893	136080	0	0	0	0
MSM6J2J1	13417	12939545	0	113029	68692	152826	HMP2	151379	114940	0	0	20379.63694	89383.32
MSM6J2J5	8494	11220491	10	87152	99858	166825	HMP2	165969	88389	10	0	395376.3034	777285.7
MSM6J2JR	8881	14795977	47	104283	119355	209891	HMP2	208310	106305	47	0	1444654.428	5956926
MSM6J2K6	14560	17642028	227	174964	153686	303122	HMP2	301786	176885	163	64	60645189.58	117836600
MSM6J2KE	14066	10967797	365	225297	86713	294882	HMP2	294364	226112	215	147	40143972.46	76265710
MSM6J2LB	1586	2054836	0	14273	8549	19473	HMP2	19301	14558	0	0	23014.67519	91669.66
MSM6J2LL	23752	11600525	1	133491	106914	202429	HMP2	198978	137937	0	1	1055898.88	2317700
MSM6J2LT	8707	16053316	22	126835	78366	182747	HMP2	181700	128356	22	0	5764315.378	23426780
MSM6J2M3	37966	14738983	420	478962	112145	543433	HMP2	538909	484560	249	155	7287992.04	14160560
MSM6J2MB	32715	11341389	80	243878	121307	320486	HMP2	313962	251673	52	28	20236741.36	83531420
MSM6J2MH	33799	14113021	2	224133	141686	313306	HMP2	307097	231800	2	0	33112.48316	126413.4
MSM6J2OH	1093	2779937	0	13729	5835	17274	HMP2	17162	13897	0	0	12280.34374	66828.55
MSM6J2OP	6887	16175818	0	90355	35682	109722	HMP2	109216	91138	0	0	15973.65676	67459
MSM6J2PM	9106	16723019	9	94102	71727	144527	HMP2	143604	95365	9	0	2127386.105	8255974
MSM6J2PO	17543	8027228	2	99877	80077	148081	HMP2	144850	103778	0	2	3827879.684	7962383
MSM6J2PU	6339	2121804	5	37552	24202	50598	HMP2	49646	38710	0	5	5048337.162	10853210
MSM6J2Q1	12752	16589588	130	180774	150237	303758	HMP2	302551	182527	105	23	1460971.975	6196507
MSM6J2Q3	3907	9748488	0	63587	21043	76800	HMP2	76446	64122	0	0	65939.03067	272400.7
MSM6J2QP	4250	14261134	2	54815	30635	74882	HMP2	74468	55314	2	0	556552.4373	2194758
MSM6J2R2	16377	15312426	378	256920	59950	298104	HMP2	297506	257759	236	139	23156574.36	93818530
MSM6J2R8	8295	14413049	115	76805	91143	152104	HMP2	151403	77821	78	37	35320244.4	144112900
MSM6J2RO	15058	15277235	173	121571	214219	309005	HMP2	306892	124395	155	18	15663511.26	61596600
MSM6J2SE	8818	13126488	39	93453	92270	172383	HMP2	170632	95579	39	0	750574.1429	3010698
MSM79H5G	10952	11535922	119	83376	156807	216342	HMP2	214907	85369	119	0	44163255.26	94870230
MSM79H5Q	4867	13949792	8	65156	33338	87014	HMP2	86599	65785	8	0	410088.1666	1728192
MSM79H63	4978	13889839	6	84442	44519	117379	HMP2	116996	85108	6	0	1590334.615	3203101
MSM79H6F	2551	1771459	23	18927	23588	37997	HMP2	37518	19535	16	7	22864778.14	89835920
MSM79H6Y	7740	5789955	49	88306	53526	127895	HMP2	126368	90178	41	8	1842611.088	7696326
MSM79H7G	16876	13851842	462	502919	40462	523671	HMP2	522996	503878	286	175	4948035.963	19073410
MSM79H7M	4558	10127895	2	71741	25525	85907	HMP2	85638	72172	2	0	11374.68962	50019.81
MSM79H7Q	62747	14671746	1262	1017077	139666	1087137	HMP2	1084101	1021321	769	485	76020693.71	149150000
MSM79H7Y	35038	11811024	263	349469	138010	427604	HMP2	423884	354318	151	111	59936393.65	288284000
MSM79H85	36914	17502119	874	789999	88105	836961	HMP2	835569	792007	528	337	1593347.146	7264303
MSM79H8D	8699	16390387	2	104382	47558	134608	HMP2	133507	105851	2	0	42499.36128	182551.1
MSM79H9G	42883	14159796	225	434579	150906	538504	HMP2	530237	444689	174	51	22844829.44	90356340
MSM79H9Q	9387	10685747	16	67130	71949	121005	HMP2	119657	68848	16	0	9791801.215	41087800
MSM79HA3	9093	15932347	50	80649	60778	122825	HMP2	121872	81946	38	12	30444588.68	116759300
MSM79HAH	6450	10628618	79	119211	34502	138953	HMP2	138400	119949	42	37	33414090.59	141395100
MSM79HAJ	16928	9067476	95	134149	174960	277962	HMP2	275144	137929	191	47	13575628.35	28349180
MSM79HAN	25659	14986839	231	208696	378412	535912	HMP2	532178	214013	396	131	8224396.109	15876530
MSM79HB6	6583	11025947	201	221635	31890	241908	HMP2	240840	223053	134	67	8342636.14	32189230
MSM79HC8	44228	12071396	559	527057	130377	591509	HMP2	587774	531920	344	213	46815360.73	91809230
MSM79HCR	13045	5427363	381	289584	23572	300614	HMP2	300004	290326	207	169	6971053.787	27071820
MSM79HDA	11363	5454376	2	79122	79015	127501	HMP2	126794	80449	2	0	0	23300.24
MSM79HDE	31072	13353333	0	190233	188405	300144	HMP2	298073	193716	0	0	16346.31199	36344.79
MSM79HDQ	8784	9125926	0	82856	53131	116911	HMP2	115763	84408	0	0	108853.7449	455286.7
MSM79HDQ_TR	3585	5163008	0	44536	24110	60271	HMP2	59764	45189	0	0	108853.7449	455286.7
MSM79HEY	5086	11924104	4	85061	23081	97988	HMP2	97571	85751	4	0	57145.98259	112863.5
MSM9VZEK	6525	5030015	14	66232	61257	113784	HMP2	112884	67398	14	0	7511881.522	15693180
MSM9VZEK_TR	3795	3667110	21	37601	36078	64850	HMP2	64192	38378	21	0	7511881.522	15693180
MSM9VZES	9463	7507357	75	79062	174516	235761	HMP2	233924	81354	75	0	9720271.135	37376210
MSM9VZEW	18968	11923657	0	117526	117609	186185	HMP2	184722	119748	0	0	15336.09916	75077.38
