Sample,RT,mz,RTobs,dRT,mzobs,dppm,intensity,area,compound
SM-AKTYL,450.0,371.3583,450.0,0.0,371.3583,0.0,0.0,0.0,coprostanol
SM-9NBE1,432.6,369.3519,437.25207,4.652069999999981,369.35186767578125,1.234478640151721,74404.41,175012.8173635005,cholesterol
SM-9NBE1,420.0,385.3465,422.008686,2.008686000000012,385.3472900390625,1.997407555132329,118640.2,540101.6946239867,cholestenone
SM-9NBE1,450.0,371.3583,445.007448,-4.992551999999989,371.3588562011719,1.47035530329807,147536.4,118686.4632302216,coprostanol
SM-9XKWX,432.6,369.3519,437.526966,4.926965999999993,369.35162353515625,0.325607291784486,153638.3,237377.4032440917,cholesterol
SM-9XKWX,420.0,385.3465,421.481346,1.481345999999974,385.34716796875,1.65422852389521,128585.6,612335.3103248224,cholestenone
SM-9XKWX,450.0,371.3583,445.282344,-4.717655999999977,371.35882568359375,1.716890076790409,191720.8,315104.0627728231,coprostanol
SM-ADID5,432.6,369.3519,437.43399,4.833989999999972,369.35223388671875,0.325607291784486,92426.79,173229.941832258,cholesterol
SM-ADID5,420.0,385.3465,424.864854,4.86485399999998,385.3470153808594,0.730284978438366,99899.59,365374.2373210176,cholestenone
SM-ADID5,450.0,371.3583,445.724238,-4.275761999999986,371.3583068847656,0.470519833074608,31048.63,7668.117470507605,coprostanol
SM-CSN3P,432.6,369.3519,436.985688,4.385687999999959,369.3514099121094,-0.858679616745332,82971.76,157026.1714627751,cholesterol
SM-CSN3P,420.0,385.3465,424.95156,4.951559999999972,385.3466796875,0.439902721180992,335559.6,442646.9407186588,cholestenone
SM-CSN3P,450.0,371.3583,445.276062,-4.723937999999976,371.35943603515625,3.059134954744165,17781.9,0.0,coprostanol
SM-B58FG,432.6,369.3519,437.520078,4.92007799999999,369.3514099121094,-0.335390052482594,105507.3,149716.9830398638,cholesterol
SM-B58FG,420.0,385.3465,422.2767,2.276700000000005,385.3467712402344,0.730284978438366,147468.0,728720.6477629422,cholestenone
SM-B58FG,450.0,371.3583,446.077836,-3.922164000000009,371.3585510253906,0.675965477651557,21653.24,0.0,coprostanol
SM-6X9WM,432.6,369.3519,437.520684,4.920683999999994,369.3513488769531,-0.197682272478252,110727.7,167413.5821646639,cholesterol
SM-6X9WM,420.0,385.3465,424.951566,4.951566000000014,385.3465576171875,0.070325303027757,113218.4,432940.7189831705,cholestenone
SM-6X9WM,450.0,371.3583,445.810926,-4.189074000000005,371.35797119140625,-0.186906229571629,86727.13,75701.11260392782,coprostanol
SM-74Y93,432.6,369.3519,437.520264,4.920263999999975,369.35137939453125,-1.244261400849828,142459.4,208875.57666082,cholesterol
SM-74Y93,420.0,385.3465,424.95114,4.951140000000009,385.3462219238281,-0.589634372382853,256177.9,447924.685700694,cholestenone
SM-74Y93,450.0,371.3583,445.008276,-4.991723999999977,371.3583679199219,0.182895930666879,173525.0,228056.5883093575,coprostanol
SM-6KUCH,432.6,369.3519,437.252376,4.652376000000004,369.35174560546875,-0.776054948711947,72150.45,148486.4963603969,cholesterol
SM-6KUCH,420.0,385.3465,424.95063,4.95062999999999,385.3465270996094,-0.272853728209362,155014.1,341175.1073640557,cholestenone
SM-6KUCH,450.0,371.3583,445.542636,-4.457363999999984,371.3587341308594,1.223820529805731,64742.73,86413.64661888796,coprostanol
SM-7IWF5,432.6,369.3519,437.520018,4.920017999999971,369.3512268066406,-1.781321743066831,76387.66,115840.2421087019,cholesterol
SM-7IWF5,420.0,385.3465,420.137262,0.137262000000021,385.3467712402344,0.175918851134758,94981.17,570983.4301327951,cholestenone
SM-7IWF5,450.0,371.3583,445.008024,-4.991976000000022,371.3580627441406,-0.474530131979358,85420.22,89440.4932537404,coprostanol
PREFA17,432.6,369.3519,437.520084,4.920083999999974,369.351318359375,0.132816399655288,63644.27,145625.5033993937,cholesterol
PREFA17,420.0,385.3465,416.125938,-3.874061999999981,385.3475646972656,1.416643040765092,111479.7,400161.4645993147,cholestenone
PREFA17,450.0,371.3583,445.275576,-4.724423999999999,371.3580017089844,-0.803243163302476,35790.93,35305.96708003052,coprostanol
PREFB17,432.6,369.3519,429.230088,-3.369911999999999,369.3510437011719,-2.731505425450758,72758.53,275287.2797093321,cholesterol
PREFB17,420.0,385.3465,424.951212,4.951211999999998,385.3463439941406,-0.642431146362597,127654.8,393692.3534928885,cholestenone
PREFB17,450.0,371.3583,445.543218,-4.456781999999976,371.3582458496094,-0.638886647640917,28945.74,13690.0327658558,coprostanol
SM-6BQPK,432.6,369.3519,437.520366,4.920366000000001,369.3516845703125,-0.707201058632826,54084.71,107345.1195298947,cholesterol
SM-6BQPK,420.0,385.3465,416.660982,-3.33901800000001,385.3468017578125,0.624691430331365,99455.62,380645.8271613341,cholestenone
SM-6BQPK,450.0,371.3583,445.008252,-4.991747999999973,371.3582763671875,0.073324920174816,72124.24,91095.30468800745,coprostanol
SM-9IMBZ,432.6,369.3519,436.45008,3.850079999999991,369.3509826660156,0.614793629901333,47427.04,151395.5263032936,cholesterol
SM-9IMBZ,420.0,385.3465,422.543826,2.543826000000024,385.34625244140625,-0.246455341145734,127777.9,599833.7178123535,cholestenone
SM-9IMBZ,450.0,371.3583,450.0,0.0,371.3583,0.0,0.0,0.0,coprostanol
SM-6ZT3G,432.6,369.3519,436.182954,3.582953999999973,369.350830078125,-0.996387396749673,30925.81,135493.456096591,cholesterol
SM-6ZT3G,420.0,385.3465,421.474446,1.474446,385.3469543457031,0.413504334264876,106036.9,544408.819304818,cholestenone
SM-6ZT3G,450.0,371.3583,445.008078,-4.991921999999988,371.3580017089844,-0.501922884640641,100597.5,103686.5992254049,coprostanol
SM-7K1V1,432.6,369.3519,437.520024,4.920023999999955,369.351318359375,-1.326886068883213,74021.2,130689.1229962785,cholesterol
SM-7K1V1,420.0,385.3465,415.590888,-4.409111999999993,385.34661865234375,0.043926915964128,100510.8,347739.616404137,cholestenone
SM-7K1V1,450.0,371.3583,445.007898,-4.992101999999989,371.3586730957031,1.004678508974675,48500.22,0.0,coprostanol
SM-6OOEJ,432.6,369.3519,437.520348,4.92034799999999,369.3515625,-0.913762728716289,62612.77,119071.4440540967,cholesterol
SM-6OOEJ,420.0,385.3465,421.474722,1.474721999999986,385.3467712402344,1.601431749915466,163564.7,737304.0953731072,cholestenone
SM-6OOEJ,450.0,371.3583,450.0,0.0,371.3583,0.0,0.0,0.0,coprostanol
SM-ARMC7,432.6,369.3519,430.29999,-2.300010000000043,369.3508605957031,-4.053500113984917,48504.75,201352.4582521053,cholesterol
SM-ARMC7,420.0,385.3465,422.277234,2.277234000000021,385.3467102050781,-0.484040824275852,137068.3,700204.5485011607,cholestenone
SM-ARMC7,450.0,371.3583,445.275996,-4.72400399999998,371.358154296875,-0.351262745233189,27456.47,28865.92286167383,coprostanol
SM-A9F6G,432.6,369.3519,437.520234,4.920233999999994,369.35101318359375,-1.492135404949983,52576.23,101840.7495817824,cholesterol
SM-A9F6G,420.0,385.3465,424.951104,4.951103999999987,385.3465270996094,-0.985610177599716,102219.1,321601.0849377151,cholestenone
SM-A9F6G,450.0,371.3583,445.008114,-4.991886000000022,371.3580017089844,-0.227995358487019,30367.65,33446.30689587688,coprostanol
SM-7J5U1,432.6,369.3519,437.520348,4.92034799999999,369.3515625,-1.629843184954325,95433.06,115088.9551016372,cholesterol
SM-7J5U1,420.0,385.3465,424.951218,4.951217999999983,385.3460693359375,-1.196797273666206,351901.0,495951.7205417805,cholestenone
SM-7J5U1,450.0,371.3583,445.54323,-4.456770000000006,371.35791015625,-1.049777936794815,24649.93,11878.89512512476,coprostanol
SM-AIG54,432.6,369.3519,434.044308,1.444307999999978,369.3516845703125,-1.299344512820785,53377.46,187314.72351187,cholesterol
